Name,X1,X2,P1,P2,Line,Label
TEE 2 of BRANCH /P-ME003-H23AF/B1,-361,-361,-2.4154,-35.3668,-8888,54
TEE 2 of BRANCH /P-ME003-H23AF/B1,-360,-361,-36.0538,-35.3668,4,55
STRT 3 of BRANCH /P-ME003-H23AF/B1,-357,-360,-41.4909,-36.0538,4,55
STRT (=469784170/40650),-358,-359,-2.4152,0,1007,56
FLEXIBLE 1 of BRANCH /P-ME003-H23AF/B4,-357,-358,-2.4135,-2.4152,7,56
TEE 1 of BRANCH /P-ME003-H23AF/B1,-357,-357,-2.4135,-41.4909,-8888,57
TEE 1 of BRANCH /P-ME003-H23AF/B1,-356,-357,-42.7174,-41.4909,4,58
STRT 2 of BRANCH /P-ME003-H23AF/B1,-355,-356,-64.2741,-42.7174,4,58
BEND 2 of BRANCH /P-ME003-H23AF/B1,-354,-355,-64.2741,-64.2741,4,58
BEND 1 of BRANCH /P-ME003-H23AF/B1,-353,-354,-64.2741,-64.2741,4,58
STRT 1 of BRANCH /P-ME003-H23AF/B1,-352,-353,-75.0065,-64.2741,4,58
STRT 5 of BRANCH /P-ME003-H22A-007/B2,-351,-352,-101.7761,-75.0065,4,58
BEND 4 of BRANCH /P-ME003-H22A-007/B2,-350,-351,-101.7761,-101.7761,4,58
STRT 4 of BRANCH /P-ME003-H22A-007/B2,-349,-350,-107.7862,-101.7761,4,58
BEND 3 of BRANCH /P-ME003-H22A-007/B2,-348,-349,-107.7862,-107.7862,4,58
STRT 3 of BRANCH /P-ME003-H22A-007/B2,-347,-348,-124.4673,-107.7862,4,58
BEND 2 of BRANCH /P-ME003-H22A-007/B2,-346,-347,-124.4673,-124.4673,4,58
STRT 2 of BRANCH /P-ME003-H22A-007/B2,-345,-346,-128.9443,-124.4673,4,58
BEND 1 of BRANCH /P-ME003-H22A-007/B2,-344,-345,-128.9443,-128.9443,4,58
STRT 1 of BRANCH /P-ME003-H22A-007/B2,-343,-344,-140.1672,-128.9443,4,58
TAPER 1 of BRANCH /P-ME003-H22A-007/B1,-342,-343,-149.3904,-140.1672,4,58
STRT 6 of BRANCH /P-ME003-H22A-007/B1,-339,-342,-149.4469,-149.3904,4,58
STRT (=469784170/40647),-340,-341,-2.4152,0,1026,59
FLEXIBLE 1 of BRANCH /P-ME003-072/B6,-339,-340,-2.4139,-2.4152,26,59
TEE 2 of BRANCH /P-ME003-H22A-007/B1,-339,-339,-2.4139,-149.4469,-8888,60
TEE 2 of BRANCH /P-ME003-H22A-007/B1,-338,-339,-150.1526,-149.4469,4,61
STRT 5 of BRANCH /P-ME003-H22A-007/B1,-335,-338,-155.117,-150.1526,4,61
STRT (=469784170/40644),-336,-337,-2.4152,0,1028,62
FLEXIBLE 1 of BRANCH /P-ME003-072/B5,-335,-336,-2.4105,-2.4152,28,62
